onset	duration	trial_type	value	sample
13.609	4.0	circle	1	13609
30.781	4.0	pentagram	2	30781
47.913	4.0	pentagram	2	47913
65.057	4.0	square	3	65057
82.233	4.0	square	3	82233
99.345	4.0	circle	1	99345
116.475	4.0	pentagram	2	116475
133.605	4.0	circle	1	133605
150.728	4.0	square	3	150728
167.855	4.0	square	3	167855
184.988	4.0	pentagram	2	184988
202.098	4.0	pentagram	2	202098
219.217	4.0	circle	1	219217
236.358	4.0	circle	1	236358
253.466	4.0	circle	1	253466
270.596	4.0	circle	1	270596
287.726	4.0	circle	1	287726
304.855	4.0	square	3	304855
321.965	4.0	square	3	321965
339.094	4.0	pentagram	2	339094
356.223	4.0	circle	1	356223
373.351	4.0	pentagram	2	373351
390.464	4.0	pentagram	2	390464
407.576	4.0	square	3	407576
424.686	4.0	circle	1	424686
441.816	4.0	square	3	441816
458.941	4.0	pentagram	2	458941
476.075	4.0	square	3	476075
493.202	4.0	pentagram	2	493202
510.314	4.0	square	3	510314
642.292	4.0	pentagram	2	642292
659.405	4.0	pentagram	2	659405
676.528	4.0	pentagram	2	676528
693.659	4.0	pentagram	2	693659
710.785	4.0	circle	1	710785
727.899	4.0	circle	1	727899
745.025	4.0	square	3	745025
762.155	4.0	circle	1	762155
779.267	4.0	circle	1	779267
796.38	4.0	pentagram	2	796380
813.502	4.0	pentagram	2	813502
830.636	4.0	circle	1	830636
847.748	4.0	square	3	847748
864.878	4.0	square	3	864878
882.016	4.0	square	3	882016
899.134	4.0	square	3	899134
916.261	4.0	circle	1	916261
933.401	4.0	circle	1	933401
950.538	4.0	square	3	950538
967.654	4.0	circle	1	967654
984.782	4.0	circle	1	984782
1001.897	4.0	pentagram	2	1001897
1019.017	4.0	pentagram	2	1019017
1036.134	4.0	square	3	1036134
1053.262	4.0	square	3	1053262
1070.371	4.0	square	3	1070371
1087.484	4.0	square	3	1087484
1104.615	4.0	pentagram	2	1104615
1121.744	4.0	pentagram	2	1121744
1138.868	4.0	circle	1	1138868
1345.676	4.0	pentagram	2	1345676
1362.797	4.0	pentagram	2	1362797
1379.939	4.0	square	3	1379939
1397.054	4.0	square	3	1397054
1414.192	4.0	square	3	1414192
1431.33	4.0	square	3	1431330
1448.471	4.0	pentagram	2	1448471
1465.609	4.0	pentagram	2	1465609
1482.723	4.0	circle	1	1482723
1499.836	4.0	square	3	1499836
1516.966	4.0	circle	1	1516966
1534.091	4.0	circle	1	1534091
1551.222	4.0	square	3	1551222
1568.337	4.0	pentagram	2	1568337
1585.474	4.0	pentagram	2	1585474
1602.61	4.0	circle	1	1602610
1619.723	4.0	circle	1	1619723
1636.865	4.0	circle	1	1636865
1653.991	4.0	square	3	1653991
1671.106	4.0	pentagram	2	1671106
1688.23	4.0	pentagram	2	1688230
1705.36	4.0	circle	1	1705360
1722.489	4.0	circle	1	1722489
1739.619	4.0	square	3	1739619
1756.733	4.0	circle	1	1756733
1773.85	4.0	square	3	1773850
1790.974	4.0	pentagram	2	1790974
1808.09	4.0	circle	1	1808090
1825.232	4.0	square	3	1825232
1842.342	4.0	pentagram	2	1842342
2097.356	4.0	pentagram	2	2097356
2114.487	4.0	pentagram	2	2114487
2131.605	4.0	pentagram	2	2131605
2148.727	4.0	circle	1	2148727
2165.84	4.0	circle	1	2165840
2182.973	4.0	pentagram	2	2182973
2200.111	4.0	circle	1	2200111
2217.225	4.0	square	3	2217225
2234.362	4.0	square	3	2234362
2251.482	4.0	circle	1	2251482
2268.611	4.0	square	3	2268611
2285.738	4.0	square	3	2285738
2302.874	4.0	pentagram	2	2302874
2320.01	4.0	circle	1	2320010
2337.126	4.0	circle	1	2337126
2354.239	4.0	pentagram	2	2354239
2371.363	4.0	square	3	2371363
2388.477	4.0	pentagram	2	2388477
2405.593	4.0	circle	1	2405593
2422.717	4.0	pentagram	2	2422717
2439.828	4.0	square	3	2439828
2456.964	4.0	square	3	2456964
2474.104	4.0	square	3	2474104
2491.215	4.0	square	3	2491215
2508.33	4.0	pentagram	2	2508330
2525.458	4.0	square	3	2525458
2542.582	4.0	circle	1	2542582
2559.703	4.0	circle	1	2559703
2576.841	4.0	pentagram	2	2576841
2593.969	4.0	circle	1	2593969
